Time,DAQC0.DIN0:,DAQC0.DIN1:,DAQC0.DIN2:,DAQC0.DIN3:,DAQC0.DIN4:,DAQC0.DIN 5:,DAQC0.DIN6:,DAQC0.DIN7:
16:52:46,1,1,1,1,1,1,1,1
16:52:46,1,1,1,1,1,1,1,1
16:52:47,1,1,1,1,1,1,1,1
16:52:47,1,1,1,1,1,1,1,1
16:52:47,1,1,1,1,1,1,1,1
16:52:47,1,1,1,1,1,1,1,1
16:52:47,1,1,1,1,1,1,1,1
16:52:48,1,1,1,1,1,1,1,1
16:52:48,1,1,1,1,1,1,1,1
16:52:48,1,1,1,1,1,1,1,1
16:52:48,1,1,1,1,1,1,1,1
16:52:48,1,1,1,1,1,1,1,1
16:52:49,1,1,1,1,1,1,1,1
16:52:49,1,1,1,1,1,1,1,1
